ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	840	2	0	0.000000	6.507143	5.722619	0.000000	0.000000	0	49	0
2	29	2	1	0.000000	7.655172	7.655172	0.000000	0.000000	0	7	0
3	1	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	4	0
4	1	1	2	0.000000	8.000000	8.000000	0.000000	0.000000	0	5	0
5	29	1	2	0.000000	6.034483	6.034483	0.000000	0.000000	0	6	0
6	3013	2	1	0.000000	6.369731	5.565881	0.000000	0.000000	0	164	0
7	38	0	0	0.000000	10.236842	9.657895	0.000000	0.000000	0	5	0
8	1930	2	2	0.000000	6.472539	5.473057	0.000000	0.000000	0	111	0
9	1220	2	0	0.000000	5.373770	4.452459	0.000000	0.000000	0	58	0
10	5	1	1	0.000000	9.800000	9.800000	0.000000	0.000000	0	7	0
11	15	1	2	0.000000	9.400000	9.400000	0.000000	0.000000	0	6	0
12	16	1	2	0.000000	9.062500	9.062500	0.000000	0.000000	0	9	0
13	3	1	2	0.000000	9.000000	9.000000	0.000000	0.000000	0	7	0
14	312	2	2	0.000000	5.855769	5.144231	0.000000	0.000000	0	16	0
15	1530	2	2	0.000000	6.379085	5.694118	0.000000	0.000000	0	90	0
16	1635	1	0	0.000000	6.376758	5.370031	0.000000	0.000000	0	85	0
17	3462	2	0	0.000000	5.962449	5.094454	0.000000	0.000000	0	180	0
18	33	2	1	0.000000	10.242424	10.242424	0.000000	0.000000	0	8	0
19	1277	2	2	0.000000	5.636648	5.086139	0.000000	0.000000	0	65	0
20	185	2	0	0.000000	7.243243	6.697297	0.000000	0.000000	0	16	0
21	1469	1	2	0.000000	6.378489	5.327434	0.000000	0.000000	0	85	0
22	91	2	2	0.000000	3.846154	2.802198	0.000000	0.000000	0	10	0
23	2	2	1	0.000000	7.500000	7.000000	0.000000	0.000000	0	4	0
24	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
25	5	1	2	0.000000	4.600000	4.600000	0.000000	0.000000	0	3	0
26	50	1	1	0.000000	6.140000	3.740000	0.000000	0.000000	0	7	0
27	835	2	2	0.000000	6.625150	5.338922	0.000000	0.000000	0	51	0
28	31	0	0	0.000000	9.580645	9.580645	0.000000	0.000000	0	7	0
29	1641	1	2	0.000000	7.405850	6.520414	0.000000	0.000000	0	109	0
30	274	0	0	0.000000	4.583942	4.262774	0.000000	0.000000	0	13	0
31	70	2	0	0.000000	7.342857	6.400000	0.000000	0.000000	0	8	0
32	30	2	1	0.000000	11.600000	10.633333	0.000000	0.000000	0	7	0
33	1	1	1	0.000000	11.000000	11.000000	0.000000	0.000000	0	6	0
34	4	2	2	0.000000	9.750000	9.750000	0.000000	0.000000	0	5	0
35	26	1	1	0.000000	5.692308	5.692308	0.000000	0.000000	0	4	0
36	3991	0	2	0.000000	5.485843	4.754197	0.000000	0.000000	0	192	0
37	31	0	0	0.000000	5.483871	4.387097	0.000000	0.000000	0	6	0
38	3297	0	0	0.000000	6.183500	5.274492	0.000000	0.000000	0	180	0
39	3931	2	2	0.000000	5.185449	4.467057	0.000000	0.000000	0	173	0
40	2458	2	2	0.000000	5.839707	5.093572	0.000000	0.000000	0	128	0
41	257	2	2	0.000000	5.385214	4.700389	0.000000	0.000000	0	18	0
42	31	0	0	0.000000	6.516129	6.516129	0.000000	0.000000	0	6	0
43	54	2	2	0.000000	5.555556	5.333333	0.000000	0.000000	0	3	0
44	31	1	1	0.000000	3.451613	3.451613	0.000000	0.000000	0	2	0
45	920	1	2	0.000000	5.188043	4.454348	0.000000	0.000000	0	43	0
46	81	2	2	0.000000	3.506173	3.320988	0.000000	0.000000	0	6	0
47	44	2	1	0.000000	9.136364	7.386364	0.000000	0.000000	0	7	0
48	5	2	1	0.000000	11.000000	10.800000	0.000000	0.000000	0	6	0
49	3	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	5	0
50	8	2	2	0.000000	4.250000	4.250000	0.000000	0.000000	0	3	0
51	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
52	76	2	2	0.000000	4.078947	4.078947	0.000000	0.000000	0	7	0
53	18	1	1	0.000000	10.444444	8.666667	0.000000	0.000000	0	9	0
54	12	1	2	0.000000	10.666667	7.666667	0.000000	0.000000	0	5	0
55	1	1	2	0.000000	11.000000	8.000000	0.000000	0.000000	0	6	0
56	10	1	2	0.000000	10.600000	8.700000	0.000000	0.000000	0	9	0
57	21	2	2	0.000000	7.190476	7.190476	0.000000	0.000000	0	9	0
58	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
59	23	2	2	0.000000	11.956522	10.434783	0.000000	0.000000	0	9	0
60	20	2	2	0.000000	8.000000	8.000000	0.000000	0.000000	0	6	0
61	31	1	1	0.000000	7.451613	7.451613	0.000000	0.000000	0	4	0
62	85	2	2	0.000000	5.082353	4.423529	0.000000	0.000000	0	10	0
63	18	2	1	0.000000	8.944444	8.611111	0.000000	0.000000	0	5	0
64	31	1	1	0.000000	1.322581	1.322581	0.000000	0.000000	0	2	0
65	43	1	2	0.000000	5.720930	5.720930	0.000000	0.000000	0	10	0
66	23	1	1	0.000000	5.913043	5.913043	0.000000	0.000000	0	7	0
67	7	1	2	0.000000	10.000000	10.000000	0.000000	0.000000	0	6	0
68	1	1	2	0.000000	11.000000	11.000000	0.000000	0.000000	0	6	0
69	963	0	2	0.000000	6.813084	5.961578	0.000000	0.000000	0	60	0
70	193	2	2	0.000000	46.367876	35.673575	0.000000	0.000000	0	111	0
71	1	1	1	0.000000	46.000000	38.000000	0.000000	0.000000	0	28	0
72	680	2	1	0.000000	5.532353	4.307353	0.000000	0.000000	0	37	0
